N,kod,T,HV1,HV10
2170,98,-13.4,-95.7,-1009.5
2171,98,-13.4,-95.7,-1009.5
2172,98,-13.4,-95.7,-1009.5
2173,98,-13.4,-95.7,-1009.5
2174,98,-13.4,-95.7,-1009.5
2175,98,-13.4,-95.7,-1009.5
2176,98,-13.4,-95.7,-1009.5
2177,98,-13.4,-95.7,-1009.5
2178,98,-13.4,-95.7,-1009.5
2179,98,-13.4,-95.7,-1009.5
2180,98,-13.4,-95.7,-1009.5
2181,98,-13.4,-95.7,-1009.5
2182,98,-13.4,-95.7,-1009.5
2183,98,-13.4,-95.9,-1012.2
2184,98,-13.4,-95.9,-1012.2
2185,98,-13.4,-95.9,-1012.2
2186,98,-13.4,-95.9,-1012.2
2187,98,-13.4,-95.9,-1012.2
2188,98,-13.4,-95.9,-1012.2
2189,98,-13.4,-95.9,-1012.2
2190,98,-13.4,-95.9,-1012.2
2191,98,-13.4,-95.9,-1012.2
2192,98,-13.4,-95.9,-1012.2
2193,98,-13.5,-95.6,-1008.8
2194,98,-13.5,-95.6,-1008.8
2195,98,-13.5,-95.6,-1008.8
2196,98,-13.5,-95.6,-1008.8
2197,98,-13.5,-95.6,-1008.8
2198,98,-13.5,-95.6,-1008.8
2199,98,-13.5,-95.6,-1008.8
2200,98,-13.5,-95.6,-1008.8
2201,98,-13.5,-95.6,-1008.8
2202,98,-13.5,-95.6,-1008.8
2203,98,-13.5,-96.0,-1013.5
2204,98,-13.5,-96.0,-1013.5
2205,98,-13.5,-96.0,-1013.5
2206,98,-13.5,-96.0,-1013.5
2207,98,-13.5,-96.0,-1013.5
2208,98,-13.5,-96.0,-1013.5
2209,98,-13.5,-96.0,-1013.5
2210,98,-13.5,-96.0,-1013.5
2211,98,-13.5,-96.0,-1013.5
2212,98,-13.5,-96.0,-1013.5
2213,98,-13.5,-96.0,-1013.5
2214,98,-13.5,-96.0,-1013.5
2215,98,-13.5,-96.0,-1013.5
2216,98,-13.5,-96.0,-1013.5
2217,98,-13.5,-96.0,-1013.4
2218,98,-13.5,-96.0,-1013.4
2219,98,-13.5,-96.0,-1013.4
2220,98,-13.5,-96.0,-1013.4
2221,98,-13.5,-96.0,-1013.4
2222,98,-13.5,-96.0,-1013.4
2223,98,-13.5,-96.0,-1013.4
2224,98,-13.5,-96.0,-1013.4
2225,98,-13.5,-96.0,-1013.4
2226,98,-13.5,-96.0,-1013.4
2227,98,-13.5,-96.0,-1013.4
2228,98,-13.5,-96.0,-1013.4
2229,98,-13.5,-96.0,-1013.4
2230,98,-13.5,-96.0,-1013.4
2231,98,-13.5,-96.0,-1013.4
2232,98,-13.5,-96.0,-1013.4
2233,98,-13.5,-96.0,-1013.4
2234,98,-13.5,-96.0,-1013.4
2235,98,-13.5,-96.0,-1013.4
2236,98,-13.5,-96.0,-1013.4
2237,98,-13.5,-96.0,-1013.4
2238,98,-13.5,-96.0,-1013.4
2239,98,-13.5,-96.0,-1013.4
2240,98,-13.5,-96.0,-1013.4
2241,98,-13.4,-96.1,-1014.1
2242,98,-13.4,-96.1,-1014.1
2243,98,-13.4,-96.1,-1014.1
2244,98,-13.4,-96.1,-1014.1
2245,98,-13.4,-96.1,-1014.1
2246,98,-13.4,-96.1,-1014.1
2247,98,-13.4,-96.1,-1014.1
2248,98,-13.4,-96.1,-1014.1
2249,98,-13.4,-96.1,-1014.1
2250,98,-13.4,-96.1,-1014.1
2251,98,-13.4,-96.1,-1014.1
2252,98,-13.4,-96.1,-1014.1
2253,98,-13.4,-96.1,-1014.1
2254,98,-13.4,-96.1,-1014.1
2255,98,-13.4,-96.1,-1014.1
2256,98,-13.4,-96.1,-1014.1
2257,98,-13.4,-96.1,-1014.1
2258,98,-13.4,-96.1,-1014.1
2259,98,-13.4,-96.1,-1014.1
2260,98,-13.4,-96.1,-1014.1
2261,98,-13.4,-95.7,-1010.2
2262,98,-13.4,-95.7,-1010.2
2263,98,-13.4,-95.7,-1010.2
2264,98,-13.4,-95.7,-1010.2
2265,98,-13.4,-95.7,-1010.2
2266,98,-13.4,-95.7,-1010.2
2267,98,-13.4,-95.7,-1010.2
2268,98,-13.4,-95.7,-1010.2
2269,98,-13.4,-95.8,-1010.8
2270,98,-13.4,-95.8,-1010.8
2271,98,-13.4,-95.8,-1010.8
2272,98,-13.4,-95.8,-1010.8
2273,98,-13.4,-95.8,-1010.8
2274,98,-13.4,-95.8,-1010.8
2275,98,-13.4,-95.8,-1010.8
2276,98,-13.4,-95.8,-1010.8
2277,98,-13.4,-96.1,-1014.1
2278,98,-13.4,-96.1,-1014.1
2279,98,-13.4,-96.1,-1014.1
2280,98,-13.4,-96.1,-1014.1
2281,98,-13.4,-96.1,-1014.1
2282,98,-13.4,-96.1,-1014.1
2283,98,-13.4,-96.1,-1014.1
2284,98,-13.4,-96.1,-1014.1
2285,98,-13.4,-96.1,-1014.1
2286,98,-13.4,-96.1,-1014.1
2287,98,-13.4,-96.1,-1014.1
2288,98,-13.4,-96.1,-1014.1
2289,98,-13.4,-96.1,-1014.1
2290,98,-13.4,-96.1,-1014.1
2291,98,-13.4,-95.5,-1008.1
2292,98,-13.4,-95.5,-1008.1
2293,98,-13.4,-95.5,-1008.1
2294,98,-13.4,-95.5,-1008.1
2295,98,-13.4,-95.5,-1008.1
2296,98,-13.4,-95.5,-1008.1
2297,98,-13.4,-95.5,-1008.1
2298,98,-13.4,-95.5,-1008.1
2299,98,-13.4,-96.1,-1014.0
2300,98,-13.4,-96.1,-1014.0
2301,98,-13.4,-96.1,-1014.0
2302,98,-13.4,-96.1,-1014.0
2303,98,-13.4,-96.1,-1014.0
2304,98,-13.4,-96.1,-1014.0
2305,98,-13.3,-96.1,-1014.1
2306,98,-13.3,-96.1,-1014.1
2307,98,-13.3,-96.1,-1014.1
2308,98,-13.3,-96.1,-1014.1
2309,98,-13.3,-96.1,-1014.1
2310,98,-13.3,-96.1,-1014.1
2311,98,-13.3,-96.1,-1014.1
2312,98,-13.3,-96.1,-1014.1
2313,98,-13.3,-96.1,-1014.1
2314,98,-13.3,-96.1,-1014.1
2315,98,-13.3,-96.1,-1014.1
2316,98,-13.3,-96.1,-1014.1
2317,98,-13.3,-96.1,-1014.1
2318,98,-13.3,-96.1,-1014.1
2319,98,-13.3,-96.1,-1014.1
2320,98,-13.3,-96.1,-1014.1
2321,98,-13.3,-96.1,-1014.1
2322,98,-13.3,-96.1,-1014.1
2323,98,-13.4,-95.7,-1009.5
2324,98,-13.4,-95.7,-1009.5
2325,98,-13.4,-95.7,-1009.5
2326,98,-13.4,-95.7,-1009.5
2327,98,-13.4,-95.7,-1009.5
2328,98,-13.4,-95.7,-1009.5
2329,98,-13.4,-95.7,-1009.5
2330,98,-13.4,-95.7,-1009.5
2331,98,-13.4,-95.7,-1009.5
2332,98,-13.4,-95.7,-1009.5
2333,98,-13.4,-95.7,-1009.5
2334,98,-13.4,-95.7,-1009.5
2335,98,-13.4,-95.7,-1009.5
2336,98,-13.4,-95.7,-1009.5
2337,98,-13.3,-95.9,-1012.2
2338,98,-13.3,-95.9,-1012.2
2339,98,-13.3,-95.9,-1012.2
2340,98,-13.3,-95.9,-1012.2
2341,98,-13.3,-95.9,-1012.2
2342,98,-13.3,-95.9,-1012.2
2343,98,-13.3,-95.9,-1012.2
2344,98,-13.3,-95.9,-1012.2
2345,98,-13.3,-96.1,-1014.1
2346,98,-13.3,-96.1,-1014.1
2347,98,-13.3,-96.1,-1014.1
2348,98,-13.3,-96.1,-1014.1
2349,98,-13.3,-96.1,-1014.1
2350,98,-13.3,-96.1,-1014.1
2351,98,-13.3,-96.1,-1014.1
2352,98,-13.3,-96.1,-1014.1
2353,98,-13.3,-96.1,-1014.1
2354,98,-13.3,-96.1,-1014.1
2355,98,-13.3,-96.1,-1014.1
2356,98,-13.3,-96.1,-1014.1
2357,98,-13.3,-96.1,-1014.1
2358,98,-13.3,-96.1,-1014.1
2359,98,-13.3,-96.1,-1014.1
2360,98,-13.3,-96.1,-1014.1
2361,98,-13.3,-96.1,-1014.1
2362,98,-13.3,-96.1,-1014.1
2363,98,-13.3,-96.1,-1014.1
2364,98,-13.3,-96.1,-1014.1
2365,98,-13.3,-96.1,-1014.1
2366,98,-13.3,-96.1,-1014.1
2367,98,-13.3,-96.1,-1014.1
2368,98,-13.3,-96.1,-1014.1
2369,98,-13.4,-95.9,-1011.5
2370,98,-13.4,-95.9,-1011.5
2371,98,-13.4,-95.9,-1011.5
2372,98,-13.4,-95.9,-1011.5
2373,98,-13.4,-95.9,-1011.5
2374,98,-13.4,-95.9,-1011.5
2375,98,-13.4,-95.9,-1011.5
