Event FlagL3 FlagG5 TL3 TG5 TriggerFlag TT
11172 1 1 237 237 1 3
11173 1 1 238 239 1 3
11174 1 1 237 241 1 3
11175 1 1 238 239 1 3
11176 1 1 237 238 1 3
11177 1 1 238 239 1 3
11178 1 1 239 239 1 3
11179 1 1 238 238 1 3
11180 1 1 467 237 1 5
11181 1 1 238 238 1 3
11182 1 1 236 238 1 3
11183 1 1 238 239 1 3
11184 1 1 238 239 1 3
11185 1 1 237 238 1 3
11186 1 1 236 243 1 3
11187 1 1 238 239 1 3
11188 1 1 236 240 1 3
11189 1 1 238 238 1 3
11190 1 1 230 467 1 3
11191 1 1 238 238 1 3
11192 1 1 237 238 1 3
11193 1 1 237 238 1 3
11194 1 1 235 238 1 3
11195 1 1 239 239 1 3
11196 1 1 237 237 1 3
11197 1 1 238 239 1 3
11198 1 1 236 238 1 3
11199 1 1 238 238 1 3
11200 1 1 237 239 1 3
11201 1 1 238 239 1 3
11202 1 1 237 243 1 3
11203 1 1 238 238 1 3
11204 1 1 231 239 1 3
11205 1 1 238 238 1 3
11206 1 1 236 238 1 3
11207 1 1 238 238 1 3
11208 1 1 235 236 1 3
11209 1 1 235 235 1 3
11210 1 1 467 239 1 5
11211 1 1 234 235 1 3
11212 1 1 467 238 1 5
11213 1 1 237 238 1 3
11214 1 1 236 238 1 3
11215 1 1 237 238 1 3
11216 1 1 236 238 1 3
11217 1 1 237 239 1 3
11218 1 1 233 235 1 3
11219 1 1 238 238 1 3
11220 1 1 237 242 1 3
11221 1 1 238 239 1 3
11222 1 1 235 237 1 3
11223 1 1 238 238 1 3
11224 1 1 238 238 1 3
11225 1 1 234 235 1 3
11226 1 1 236 237 1 3
11227 1 1 237 238 1 3
11228 1 1 236 237 1 3
11229 1 1 238 238 1 3
11230 1 1 236 237 1 3
11231 1 1 238 239 1 3
11232 1 1 235 237 1 3
11233 1 1 238 239 1 3
11234 1 1 239 240 1 3
11235 1 1 237 238 1 3
11236 1 1 467 237 1 5
11237 1 1 238 238 1 3
11238 1 1 234 241 1 3
11239 1 1 238 239 1 3
11240 1 1 236 238 1 3
11241 1 1 234 235 1 3
11242 1 1 468 236 1 5
11243 1 1 235 235 1 3
11244 1 1 232 238 1 3
11245 1 1 234 235 1 3
11246 1 1 238 239 1 3
11247 1 1 234 235 1 3
11248 1 1 232 238 1 3
11249 1 1 238 239 1 3
11250 1 1 467 236 1 5
11251 1 1 237 238 1 3
11252 1 1 238 239 1 3
11253 1 1 234 235 1 3
11254 1 1 236 237 1 3
11255 1 1 234 235 1 3
11256 1 1 235 467 1 3
11257 1 1 238 239 1 3
11258 1 1 237 238 1 3
11259 1 1 235 235 1 3
11260 1 1 238 240 1 3
11261 1 1 238 239 1 3
11262 1 1 234 235 1 3
11263 1 1 238 238 1 3
11264 1 1 233 467 1 3
11265 1 1 238 239 1 3
11266 1 1 235 238 1 3
11267 1 1 238 239 1 3
11268 1 1 235 237 1 3
11269 1 1 238 238 1 3
11270 1 1 236 236 1 3
11271 1 1 238 239 1 3
11272 1 1 235 236 1 3
11273 1 1 238 239 1 3
11274 1 1 238 238 1 3
11275 1 1 239 239 1 3
11276 1 1 234 236 1 3
11277 1 1 238 238 1 3
11278 1 1 235 235 1 3
11279 1 1 238 239 1 3
11280 1 1 429 231 1 5
11281 1 1 196 235 1 3
11282 1 1 235 237 1 3
11283 1 1 238 239 1 3
11284 1 1 231 236 1 3
11285 1 1 201 239 1 3
11286 1 1 232 236 1 3
11287 1 1 202 239 1 3
11288 1 1 237 239 1 3
11289 1 1 238 239 1 3
11290 1 1 235 237 1 3
11291 1 1 238 239 1 3
11292 1 1 235 237 1 3
11293 1 1 238 238 1 3
