Event Calibr
11512 0
11513 1
11514 0
11515 1
11516 0
11517 1
11518 0
11519 1
11520 0
11521 1
11522 0
11523 1
11524 0
11525 1
11526 0
11527 1
11528 0
11529 1
11530 0
11531 1
11532 0
11533 1
11534 0
11535 1
11536 0
11537 1
11538 0
11539 1
11540 0
11541 1
11542 0
11543 1
11544 0
11545 1
11546 0
11547 1
11548 0
11549 1
11550 0
11551 1
11552 0
11553 1
11554 0
11555 1
11556 0
11557 1
11558 0
11559 1
11560 0
11561 1
11562 0
11563 1
11564 0
11565 1
11566 0
11567 1
11568 0
11569 1
11570 0
11571 1
11572 0
11573 1
11574 0
11575 1
11576 0
11577 1
11578 0
11579 1
11580 0
11581 1
11582 0
11583 1
11584 0
11585 1
11586 0
11587 1
11588 0
11589 1
11590 0
11591 1
11592 0
11593 1
11594 0
11595 1
11596 0
11597 1
11598 0
11599 1
11600 0
11601 1
11602 0
11603 1
11604 0
11605 1
11606 0
11607 1
11608 0
11609 1
11610 0
11611 1
11612 0
11613 1
11614 0
11615 1
11616 0
11617 1
11618 0
11619 1
11620 0
11621 1
11622 0
11623 1
11624 0
11625 1
11626 0
11627 1
11628 0
11629 1
11630 0
11631 1
11632 0
11633 1
11634 0
11635 1
11636 0
11637 1
11638 0
11639 1
11640 0
11641 1
11642 0
11643 1
11644 0
11645 1
11646 0
11647 1
11648 0
11649 1
11650 0
11651 1
11652 0
11653 1
11654 0
11655 1
11656 0
11657 1
11658 0
11659 1
11660 0
11661 1
11662 0
11663 1
11664 0
11665 1
11666 0
11667 1
11668 0
11669 1
11670 0
11671 1
11672 0
11673 1
11674 0
11675 1
11676 0
11677 1
11678 0
11679 1
11680 0
11681 1
11682 0
11683 1
11684 0
11685 1
11686 0
11687 1
11688 0
11689 1
11690 0
11691 1
11692 0
11693 1
11694 0
11695 1
11696 0
11697 1
11698 0
11699 1
11700 0
11701 1
11702 0
11703 1
11704 0
11705 1
11706 0
11707 1
11708 0
11709 1
11710 0
11711 1
11712 0
11713 1
11714 0
11715 1
11716 0
11717 1
11718 0
11719 1
11720 0
11721 1
11722 0
11723 1
11724 0
11725 1
11726 0
11727 1
11728 0
11729 1
11730 0
11731 1
11732 0
11733 1
11734 0
11735 1
11736 0
11737 1
11738 0
11739 1
11740 0
11741 1
11742 0
11743 1
11744 0
11745 1
11746 0
11747 1
11748 0
11749 1
11750 0
11751 1
11752 0
11753 1
11754 0
11755 1
11756 0
11757 1
11758 0
11759 1
11760 0
11761 1
11762 0
11763 1
11764 0
11765 1
11766 0
11767 1
11768 0
11769 1
11770 0
11771 1
11772 0
11773 1
11774 0
11775 1
11776 0
11777 1
11778 0
11779 1
11780 0
11781 1
11782 0
11783 1
11784 0
11785 1
11786 0
11787 1
11788 0
11789 1
11790 0
11791 1
11792 0
11793 1
11794 0
11795 1
11796 0
11797 1
11798 0
11799 1
11800 0
11801 1
11802 0
11803 1
11804 0
11805 1
11806 0
11807 1
11808 0
11809 1
11810 0
11811 1
11812 0
11813 1
11814 0
11815 1
11816 0
11817 1
11818 0
11819 1
11820 0
11821 1
11822 0
11823 1
11824 0
11825 1
11826 0
11827 1
11828 0
11829 1
11830 0
11831 1
11832 0
11833 1
11834 0
11835 1
11836 0
11837 1
11838 0
11839 1
11840 0
11841 1
11842 0
11843 1
11844 0
11845 1
11846 0
11847 1
11848 0
11849 1
11850 0
11851 1
11852 0
11853 1
11854 0
11855 1
11856 0
11857 1
11858 0
11859 1
11860 0
11861 1
11862 0
11863 1
11864 0
11865 1
11866 0
11867 1
11868 0
11869 1
11870 0
11871 1
11872 0
11873 1
11874 0
11875 1
11876 0
11877 1
11878 0
11879 1
11880 0
11881 1
11882 0
11883 1
11884 0
11885 1
11886 0
11887 1
11888 0
11889 1
11890 0
11891 1
11892 0
11893 1
11894 0
11895 1
11896 0
11897 1
11898 0
11899 1
11900 0
11901 1
11902 0
11903 1
11904 0
11905 1
11906 0
11907 1
11908 0
11909 1
11910 0
11911 1
11912 0
11913 1
11914 0
11915 1
11916 0
11917 1
11918 0
11919 1
11920 0
11921 1
11922 0
11923 1
11924 0
11925 1
11926 0
11927 1
11928 0
11929 1
11930 0
11931 1
11932 0
11933 1
11934 0
11935 1
11936 0
11937 1
11938 0
11939 1
11940 0
11941 1
11942 0
11943 1
11944 0
11945 1
11946 0
11947 1
11948 0
11949 1
11950 0
11951 1
11952 0
11953 1
11954 0
11955 1
11956 0
11957 1
11958 0
11959 1
11960 0
11961 1
11962 0
11963 1
11964 0
11965 1
11966 0
11967 1
11968 0
11969 1
11970 0
11971 1
11972 0
11973 1
11974 0
11975 1
11976 0
11977 1
11978 0
11979 1
11980 0
11981 1
11982 0
11983 1
11984 0
11985 1
11986 0
11987 1
11988 0
11989 1
11990 0
11991 1
11992 0
11993 1
11994 0
11995 1
11996 0
11997 1
11998 0
11999 1
12000 0
12001 1
12002 0
12003 1
12004 0
12005 1
12006 0
12007 1
12008 0
12009 1
12010 0
12011 1
12012 0
12013 1
12014 0
12015 1
12016 0
12017 1
12018 0
12019 1
12020 0
12021 1
12022 0
12023 1
12024 0
12025 1
12026 0
12027 1
12028 0
12029 1
12030 0
12031 1
12032 0
12033 1
12034 0
12035 1
12036 0
12037 1
12038 0
12039 1
12040 0
12041 1
12042 0
12043 1
12044 0
12045 1
12046 0
12047 1
12048 0
12049 1
12050 0
12051 1
12052 0
12053 1
12054 0
12055 1
12056 0
12057 1
12058 0
12059 1
12060 0
12061 1
12062 0
12063 1
12064 0
12065 1
12066 0
12067 1
12068 0
12069 1
12070 0
12071 1
12072 0
12073 1
12074 0
12075 1
12076 0
12077 1
12078 0
12079 1
12080 0
12081 1
12082 0
12083 1
12084 0
12085 1
12086 0
12087 1
12088 0
12089 1
12090 0
12091 1
12092 0
12093 1
12094 0
12095 1
12096 0
12097 1
12098 0
12099 1
12100 0
12101 1
12102 0
12103 1
12104 0
12105 1
12106 0
12107 1
12108 0
12109 1
12110 0
12111 1
12112 0
12113 1
12114 0
12115 1
12116 0
12117 1
12118 0
12119 1
12120 0
12121 1
12122 0
12123 1
12124 0
12125 1
12126 0
12127 1
12128 0
12129 1
12130 0
12131 1
12132 0
12133 1
12134 0
12135 1
12136 0
12137 1
12138 0
12139 1
12140 0
12141 1
12142 0
12143 1
12144 0
12145 1
12146 0
12147 1
12148 0
12149 1
12150 0
12151 1
12152 0
12153 1
12154 0
12155 1
12156 0
12157 1
12158 0
12159 1
12160 0
12161 1
12162 0
12163 1
12164 0
12165 1
12166 0
12167 1
12168 0
12169 1
12170 0
12171 1
12172 0
12173 1
12174 0
12175 1
12176 0
12177 1
12178 0
12179 1
12180 0
12181 1
12182 0
12183 1
12184 0
12185 1
12186 0
12187 1
12188 0
12189 1
12190 0
12191 1
12192 0
12193 1
12194 0
12195 1
12196 0
12197 1
12198 0
12199 1
12200 0
12201 1
12202 0
12203 1
12204 0
12205 1
12206 0
12207 1
12208 0
12209 1
12210 0
12211 1
12212 0
12213 1
12214 0
12215 1
12216 0
12217 1
12218 0
12219 1
12220 0
12221 1
12222 0
12223 1
12224 0
12225 1
12226 0
12227 1
12228 0
12229 1
12230 0
12231 1
12232 0
12233 1
12234 0
12235 1
12236 0
12237 1
12238 0
12239 1
12240 0
12241 1
12242 0
12243 1
12244 0
12245 1
12246 0
12247 1
12248 0
12249 1
12250 0
12251 1
12252 0
12253 1
12254 0
12255 1
12256 0
12257 1
12258 0
12259 1
12260 0
12261 1
12262 0
12263 1
12264 0
12265 1
12266 0
12267 1
12268 0
12269 1
12270 0
12271 1
12272 0
12273 1
12274 0
12275 1
12276 0
12277 1
12278 0
12279 1
12280 0
12281 1
12282 0
12283 1
12284 0
12285 1
12286 0
12287 1
12288 0
12289 1
12290 0
12291 1
12292 0
12293 1
12294 0
12295 1
12296 0
12297 1
12298 0
12299 1
12300 0
12301 1
12302 0
12303 1
12304 0
12305 1
12306 0
12307 1
12308 0
12309 1
12310 0
12311 1
12312 0
12313 1
12314 0
12315 1
12316 0
12317 1
12318 0
12319 1
12320 0
12321 1
12322 0
12323 1
12324 0
12325 1
12326 0
12327 1
12328 0
12329 1
12330 0
12331 1
12332 0
12333 1
12334 0
12335 1
12336 0
12337 1
12338 0
12339 1
12340 0
12341 1
12342 0
12343 1
12344 0
12345 1
12346 0
12347 1
12348 0
12349 1
12350 0
12351 1
12352 0
12353 1
12354 0
12355 1
12356 0
12357 1
12358 0
12359 1
12360 0
12361 1
12362 0
12363 1
12364 0
12365 1
12366 0
12367 1
12368 0
12369 1
12370 0
12371 1
12372 0
12373 1
12374 0
12375 1
12376 0
12377 1
12378 0
12379 1
12380 0
12381 1
12382 0
12383 1
12384 0
12385 1
12386 0
12387 1
12388 0
12389 1
12390 0
12391 1
12392 0
12393 1
12394 0
12395 1
12396 0
12397 1
12398 0
12399 1
12400 0
12401 1
12402 0
12403 1
12404 0
12405 1
12406 0
12407 1
12408 0
12409 1
12410 0
12411 1
12412 0
12413 1
12414 0
12415 1
12416 0
12417 1
12418 0
12419 1
12420 0
12421 1
12422 0
12423 1
12424 0
12425 1
12426 0
12427 1
12428 0
12429 1
12430 0
12431 1
12432 0
12433 1
12434 0
12435 1
12436 0
12437 1
12438 0
12439 1
12440 0
12441 1
12442 0
12443 1
12444 0
12445 1
12446 0
12447 1
12448 0
12449 1
12450 0
12451 1
12452 0
12453 1
12454 0
12455 1
12456 0
12457 1
12458 0
12459 1
12460 0
12461 1
12462 0
12463 1
12464 0
12465 1
12466 0
12467 1
12468 0
12469 1
12470 0
12471 1
12472 0
12473 1
12474 0
12475 1
12476 0
12477 1
12478 0
12479 1
12480 0
12481 1
12482 0
12483 1
12484 0
12485 1
12486 0
12487 1
12488 0
12489 1
12490 0
12491 1
12492 0
12493 1
12494 0
12495 1
12496 0
12497 1
12498 0
12499 1
12500 0
12501 1
12502 0
12503 1
12504 0
12505 1
12506 0
12507 1
12508 0
12509 1
12510 0
12511 1
12512 0
12513 1
12514 0
12515 1
12516 0
12517 1
12518 0
12519 1
12520 0
12521 1
12522 0
12523 1
12524 0
12525 1
12526 0
12527 1
12528 0
12529 1
12530 0
12531 1
12532 0
12533 1
12534 0
12535 1
12536 0
12537 1
12538 0
12539 1
12540 0
12541 1
12542 0
12543 1
12544 0
12545 1
12546 0
12547 1
12548 0
12549 1
12550 0
12551 1
12552 0
12553 1
12554 0
12555 1
12556 0
12557 1
12558 0
12559 1
12560 0
12561 1
12562 0
12563 1
12564 0
12565 1
12566 0
12567 1
12568 0
12569 1
12570 0
12571 1
12572 0
12573 1
12574 0
12575 1
12576 0
12577 1
12578 0
12579 1
12580 0
12581 1
12582 0
12583 1
12584 0
12585 1
12586 0
12587 1
12588 0
12589 1
12590 0
12591 1
12592 0
12593 1
12594 0
12595 1
12596 0
12597 1
12598 0
12599 1
12600 0
12601 1
12602 0
12603 1
12604 0
12605 1
12606 0
12607 1
12608 0
12609 1
12610 0
12611 1
12612 0
12613 1
12614 0
12615 1
12616 0
12617 1
12618 0
12619 1
12620 0
12621 1
12622 0
12623 1
12624 0
12625 1
12626 0
12627 1
12628 0
12629 1
12630 0
12631 1
12632 0
12633 1
12634 0
12635 1
12636 0
12637 1
12638 0
12639 1
12640 0
12641 1
12642 0
12643 1
12644 0
12645 1
12646 0
12647 1
12648 0
12649 1
12650 0
12651 1
12652 0
12653 1
12654 0
12655 1
12656 0
12657 1
12658 0
12659 1
12660 0
12661 1
12662 0
12663 1
12664 0
12665 1
12666 0
12667 1
12668 0
12669 1
12670 0
12671 1
12672 0
12673 1
12674 0
12675 1
12676 0
12677 1
12678 0
12679 1
12680 0
12681 1
12682 0
12683 1
12684 0
12685 1
12686 0
12687 1
12688 0
12689 1
12690 0
12691 1
12692 0
12693 1
12694 0
12695 1
12696 0
12697 1
12698 0
12699 1
12700 0
12701 1
12702 0
12703 1
12704 0
12705 1
12706 0
12707 1
12708 0
12709 1
12710 0
12711 1
12712 0
12713 1
12714 0
12715 1
12716 0
12717 1
12718 0
