EID,Data,Time,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER
1998,2012-03-13,17:39:27,E,6,39,472,240,472,240
1999,2012-03-13,17:39:28,C,0,4355808,242,242,242,242
2000,2012-03-13,17:39:32,E,4,17,472,240,472,240
2001,2012-03-13,17:39:32,C,0,4349856,242,242,242,242
2002,2012-03-13,17:39:33,L,2,12,472,242,472,242
2003,2012-03-13,17:39:34,C,0,4356910,242,242,242,242
2004,2012-03-13,17:39:38,E,4,28,472,243,472,243
2005,2012-03-13,17:39:38,C,0,4356354,242,242,242,242
2006,2012-03-13,17:39:48,L,3,15,472,240,472,240
2007,2012-03-13,17:39:48,C,0,4354153,242,242,243,242
2008,2012-03-13,17:39:53,L,3,11,472,239,472,239
2009,2012-03-13,17:39:54,C,0,4356983,242,242,242,242
2010,2012-03-13,17:40:06,L,5,1065,241,240,472,240
2011,2012-03-13,17:40:06,C,0,4364931,242,242,242,242
2012,2012-03-13,17:40:08,L,3,23,472,241,472,241
2013,2012-03-13,17:40:08,C,0,4361725,240,242,242,240
2014,2012-03-13,17:40:10,L,5,1633,244,244,472,244
2015,2012-03-13,17:40:10,C,0,4359568,242,242,242,242
2016,2012-03-13,17:40:11,L,2,9,472,239,472,239
2017,2012-03-13,17:40:12,C,0,4361202,242,242,242,242
2018,2012-03-13,17:40:13,L,3,9,472,241,472,241
2019,2012-03-13,17:40:13,C,0,4363849,242,242,242,242
2020,2012-03-13,17:40:14,L,2,13,472,241,472,241
2021,2012-03-13,17:40:14,C,0,4371717,242,242,242,242
2022,2012-03-13,17:40:23,L,3,12,472,239,472,239
2023,2012-03-13,17:40:23,C,0,4363123,242,242,242,242
2024,2012-03-13,17:40:26,L,2,8,472,241,472,241
2025,2012-03-13,17:40:27,C,0,4365229,242,242,242,242
2026,2012-03-13,17:40:29,L,2,11,472,240,472,240
2027,2012-03-13,17:40:30,C,0,4359284,242,242,243,242
2028,2012-03-13,17:40:32,E,8,50,472,242,472,242
2029,2012-03-13,17:40:33,C,0,4357515,242,242,243,242
2030,2012-03-13,17:40:38,E,4,25,472,242,472,242
2031,2012-03-13,17:40:38,C,0,4357157,242,242,242,242
2032,2012-03-13,17:40:41,E,4,24,472,239,472,239
2033,2012-03-13,17:40:41,C,0,4361713,242,242,242,242
2034,2012-03-13,17:40:44,L,3,13,472,242,472,242
2035,2012-03-13,17:40:45,C,0,4359512,242,242,242,242
2036,2012-03-13,17:40:46,E,4,19,472,242,472,242
2037,2012-03-13,17:40:47,C,0,4359677,242,242,243,242
2038,2012-03-13,17:40:53,L,3,11,472,239,472,239
2039,2012-03-13,17:40:53,C,0,4361715,242,242,242,242
2040,2012-03-13,17:40:57,E,4,47,472,241,472,241
2041,2012-03-13,17:40:57,C,0,4372134,241,242,242,241
2042,2012-03-13,17:40:59,L,2,7,472,241,472,241
2043,2012-03-13,17:41:00,C,0,4360863,242,242,242,242
2044,2012-03-13,17:41:12,E,7,39,472,240,472,240
2045,2012-03-13,17:41:13,C,0,4371746,240,242,242,240
2046,2012-03-13,17:41:15,L,3,12,472,242,472,242
2047,2012-03-13,17:41:15,C,0,4364497,242,242,242,242
2048,2012-03-13,17:41:16,L,3,16,472,242,472,242
2049,2012-03-13,17:41:17,C,0,4365016,242,242,243,242
2050,2012-03-13,17:41:18,L,3,12,472,239,472,239
2051,2012-03-13,17:41:22,L,3,11,472,241,472,241
2052,2012-03-13,17:41:23,C,0,4377840,240,241,243,240
2053,2012-03-13,17:41:27,E,4,15,472,239,472,239
2054,2012-03-13,17:41:36,L,3,17,472,239,472,239
2055,2012-03-13,17:41:36,C,0,4369877,239,242,242,239
2056,2012-03-13,17:41:39,L,4,787,243,472,472,243
2057,2012-03-13,17:41:45,L,3,10,472,240,472,240
2058,2012-03-13,17:41:45,C,0,4374824,240,241,242,240
2059,2012-03-13,17:41:47,E,4,19,472,239,472,239
2060,2012-03-13,17:41:48,C,0,4371371,240,242,242,240
2061,2012-03-13,17:41:49,L,3,13,472,239,472,239
2062,2012-03-13,17:41:50,C,0,4377634,241,242,242,241
2063,2012-03-13,17:51:03,L,5,1201,242,242,243,242
2064,2012-03-13,17:51:04,L,1,0,238,238,238,238
2065,2012-03-13,17:51:09,E,12,256,472,239,241,239
2066,2012-03-13,17:51:09,L,1,0,242,242,242,242
2067,2012-03-13,17:52:54,E,5,770,241,241,242,241
2068,2012-03-13,17:52:54,L,1,0,242,241,242,241
2069,2012-03-13,17:53:21,E,7,110,472,242,243,242
2070,2012-03-13,17:53:22,L,1,0,241,241,242,241
2071,2012-03-13,17:53:36,E,4,96,472,241,241,241
2072,2012-03-13,17:53:36,L,1,0,242,242,242,242
2073,2012-03-13,17:56:27,L,4,1424,242,242,472,242
2074,2012-03-13,17:56:27,L,1,0,242,242,243,242
2075,2012-03-13,17:59:39,D,260,10098,243,242,243,242
2076,2012-03-13,17:59:40,D,79,3829,242,242,242,242
2077,2012-03-13,18:01:06,L,6,3853,241,239,472,239
2078,2012-03-13,18:01:06,L,1,0,242,242,242,242
2079,2012-03-13,18:02:05,E,13,2327,241,241,241,241
2080,2012-03-13,18:02:05,L,1,0,242,242,242,242
2081,2012-03-13,18:02:27,L,6,2005,239,238,239,238
2082,2012-03-13,18:02:27,L,1,0,242,242,242,242
2083,2012-03-13,18:04:24,E,44,1562,242,240,243,240
2084,2012-03-13,18:04:24,L,1,0,241,241,242,241
2085,2012-03-13,18:04:28,L,5,1197,242,242,242,242
2086,2012-03-13,18:04:28,L,1,0,242,242,242,242
2087,2012-03-13,18:04:51,L,5,2951,244,243,244,243
2088,2012-03-13,18:04:51,L,0,0,242,242,242,242
2089,2012-03-13,18:05:08,L,5,4651,240,241,241,240
2090,2012-03-13,18:05:08,L,1,0,241,241,242,241
2091,2012-03-13,18:05:21,L,4,1734,242,242,242,242
2092,2012-03-13,18:05:21,L,0,0,238,238,239,238
2093,2012-03-13,18:06:04,L,5,1354,241,241,241,241
2094,2012-03-13,18:06:04,L,1,0,241,242,242,241
2095,2012-03-13,18:06:30,E,9,168,472,239,240,239
