EID,Date,Time,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER
11076,2013-03-09,22:24:22,E,11,1038,240,239,239,239
11077,2013-03-09,22:24:22,C,0,6578909,242,242,242,242
11078,2013-03-09,22:27:49,E,10,3004,243,242,243,242
11079,2013-03-09,22:27:50,C,0,6584567,242,242,242,242
11080,2013-03-09,22:29:20,E,13,547,241,239,472,239
11081,2013-03-09,22:29:20,C,0,6597188,242,243,243,242
11082,2013-03-09,22:32:07,L,4,1244,242,243,472,242
11083,2013-03-09,22:32:07,C,0,6596796,242,242,243,242
11084,2013-03-09,22:33:10,E,13,544,472,240,240,240
11085,2013-03-09,22:33:10,C,0,6595296,242,243,243,242
11086,2013-03-09,22:33:57,L,4,1517,243,242,243,242
11087,2013-03-09,22:33:58,C,0,6596983,242,242,242,242
11088,2013-03-09,22:35:57,E,8,573,243,241,241,241
11089,2013-03-09,22:35:58,C,0,6590725,242,242,243,242
11090,2013-03-09,22:36:55,E,18,592,243,239,243,239
11091,2013-03-09,22:36:55,C,0,6594188,242,242,243,242
11092,2013-03-09,22:39:02,E,10,783,243,241,242,241
11093,2013-03-09,22:39:02,C,0,6595535,242,242,243,242
11094,2013-03-09,22:40:21,E,77,6727,240,237,239,237
11095,2013-03-09,22:40:22,C,0,6595018,242,242,243,242
11096,2013-03-09,22:42:07,L,5,3227,242,241,243,241
11097,2013-03-09,22:42:08,C,0,6608256,242,242,243,242
11098,2013-03-09,22:42:48,L,6,1728,242,242,242,242
11099,2013-03-09,22:42:49,C,0,6597666,242,242,243,242
11100,2013-03-09,22:43:11,L,4,2038,242,242,242,242
11101,2013-03-09,22:43:11,C,0,6601421,242,242,243,242
11102,2013-03-09,22:44:32,E,5,760,241,241,472,241
11103,2013-03-09,22:44:33,C,0,6602285,242,242,243,242
11104,2013-03-09,22:45:01,E,11,1892,242,241,241,241
11105,2013-03-09,22:45:01,C,0,6609848,242,243,243,242
11106,2013-03-09,22:55:03,L,5,844,242,242,472,242
11107,2013-03-09,22:55:03,C,0,6600688,243,243,243,243
11108,2013-03-09,22:55:20,L,5,1897,243,243,243,243
11109,2013-03-09,22:55:21,C,0,6601289,242,242,243,242
11110,2013-03-09,22:55:52,L,5,2881,244,244,472,244
11111,2013-03-09,22:55:52,C,0,6604913,242,242,243,242
11112,2013-03-09,22:56:22,E,27,1071,240,238,239,238
11113,2013-03-09,22:56:22,C,0,6608979,242,243,243,242
11114,2013-03-09,22:57:10,D,199,24848,243,243,246,243
11115,2013-03-09,22:57:10,C,0,6462406,13,13,13,13
11116,2013-03-09,22:58:07,E,18,1098,243,242,243,242
11117,2013-03-09,22:58:07,C,0,6611434,242,242,243,242
11118,2013-03-09,22:59:25,E,13,615,242,241,241,241
