EID,UTC,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,H,EAS,SNRatio_s,SNRatio_n,AbsSignal_s,AbsSignal_n,TotalNoise_s,TotalNoise_n,NNear3,Theta,dt2_s,dt2_n,ng_s,ng_n,Crit1,Crit2
10744,2013-03-09  20:01:22,C,0,6590659,242,242,243,242,0,602.2,,,,,,,,,,,,,,,
10745,2013-03-09  20:02:00,E,16,918,243,241,242,241,38,602.5,1.0,11.21671,0.507392,477.417,160.002,42.563,315.342,19.0,0.2984513,1.618347,0.7745966999999999,21.0,5.0,2.010264881388231,22.106605174554172
10746,2013-03-09  20:02:00,C,0,6586063,243,243,243,243,0,602.5,,,,,,,,,,,,,,,
10747,2013-03-09  20:02:05,E,12,271,242,237,242,237,5,602.5,1.0,5.691371,0.1310701,202.425,20.154,35.567,153.765,11.0,0.43982299999999996,1.0,2.0,14.0,1.0,28.0,43.42233278047002
10748,2013-03-09  20:02:06,C,0,6592743,242,243,243,242,1,602.5,,,,,,,,,,,,,,,
10749,2013-03-09  20:06:35,E,55,2383,240,236,240,236,269,601.2,1.0,54.461969999999994,0.3700035,1094.032,291.935,20.088,789.006,32.0,0.6440265000000001,1.4234870000000002,1.9272479999999999,38.0,7.0,7.3497007198319535,147.19310464991767
10750,2013-03-09  20:06:35,C,0,6587850,242,242,243,242,0,601.2,,,,,,,,,,,,,,,
10751,2013-03-09  20:11:47,E,23,899,240,237,240,237,312,601.2,1.0,47.06785,0.8958208000000001,543.21,232.444,11.541,259.476,18.0,0.1570796,0.8528029,2.13809,22.0,7.0,7.879559777026354,52.54158493419036
10752,2013-03-09  20:11:47,C,0,6576328,242,242,243,242,0,601.2,,,,,,,,,,,,,,,
10753,2013-03-09  20:14:05,E,27,1858,241,239,240,239,138,601.1,1.0,49.10067,0.7640898,833.042,349.62,16.966,457.564,24.0,0.09424778,0.8819171,2.035401,27.0,7.0,8.902007261874646,64.26033937400369
10754,2013-03-09  20:14:05,C,0,6573947,242,242,243,242,0,601.1,,,,,,,,,,,,,,,
10755,2013-03-09  20:17:11,E,14,457,241,237,470,237,186,599.4,1.0,30.090590000000002,1.020062,340.475,150.604,11.315,147.642,19.0,0.37699109999999997,0.7801895000000001,2.0,23.0,9.0,6.551114967724008,29.498781914692415
10756,2013-03-09  20:17:11,C,0,6564627,242,243,243,242,0,599.4,,,,,,,,,,,,,,,
10757,2013-03-09  20:17:46,E,9,108,243,243,471,243,35,600.0,1.0,24.65256,0.05344059,342.498,17.345,13.893,324.566,26.0,0.7696901999999999,1.520691,1.0,32.0,1.0,21.043065290713233,461.30772057086546
10758,2013-03-09  20:17:47,C,0,6566603,242,243,243,242,1,600.0,,,,,,,,,,,,,,,
10759,2013-03-09  20:22:47,E,24,835,238,237,237,237,300,603.4,1.0,18.84704,0.9961696,539.063,260.587,28.602,261.589,17.0,0.3612832,1.195229,2.5690470000000003,21.0,5.0,9.027556560290957,18.919508641209397
10760,2013-03-09  20:22:47,C,0,6563873,242,242,243,242,0,603.4,,,,,,,,,,,,,,,
10761,2013-03-09  20:27:21,E,8,206,240,236,240,236,274,610.2,1.0,10.11604,0.6918966,485.155,204.178,47.959,295.099,22.0,0.42411499999999996,1.4,2.215647,25.0,11.0,3.5968295454545465,14.62073430503922
10762,2013-03-09  20:27:21,C,0,6595350,242,242,243,242,0,610.2,,,,,,,,,,,,,,,
10763,2013-03-09  20:29:48,E,12,296,470,238,239,238,147,608.6,1.0,13.754129999999998,1.302095,177.552,88.825,12.909,68.217,8.0,0.01570796,0.8164965999999999,1.5811389999999999,9.0,2.0,8.714213261880086,10.563075115189076
10764,2013-03-09  20:29:48,C,0,6593870,242,242,243,242,0,608.6,,,,,,,,,,,,,,,
10765,2013-03-09  20:30:20,E,8,267,241,237,240,237,32,609.8,1.0,4.85803,1.2888600000000001,175.302,98.032,36.085,76.061,8.0,0.3298672,0.7745966999999999,2.44949,10.0,4.0,7.905694666656856,3.7692446688504706
10766,2013-03-09  20:30:20,C,0,6599618,242,242,243,242,0,609.8,,,,,,,,,,,,,,,
10767,2013-03-09  20:38:27,E,17,1715,238,237,238,237,487,611.1,1.0,32.513529999999996,1.4737559999999998,959.962,571.309,29.525,387.655,29.0,0.42411499999999996,0.9682458,2.017778,32.0,14.0,4.763319396789534,22.061673846149848
10768,2013-03-09  20:38:28,C,0,6606994,242,242,242,242,1,611.1,,,,,,,,,,,,,,,
10769,2013-03-09  20:42:21,E,29,1382,238,236,238,236,233,605.0,1.0,24.76004,0.4691329000000001,880.566,261.193,35.564,556.757,34.0,0.6440265000000001,1.3525040000000002,2.0,41.0,9.0,6.736476277416636,52.778308036197984
10770,2013-03-09  20:42:21,C,0,6616766,242,243,243,242,0,605.0,,,,,,,,,,,,,,,
10771,2013-03-09  20:47:07,E,13,949,241,240,241,240,286,609.6,1.0,10.017339999999999,1.1969299999999998,540.105,316.698,53.917,264.592,22.0,0.3298672,0.8416254000000001,1.914854,24.0,12.0,4.550371222161308,8.369198460501199
10772,2013-03-09  20:47:07,C,0,6618949,242,242,243,242,0,609.6,,,,,,,,,,,,,,,
