EID,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,EAS,H,UTC
1927,L,3,10,510,240,510,240,2,0.0,498.0,2012-03-13 17:37:08
1928,E,4,22,510,242,510,242,3,0.0,498.0,2012-03-13 17:37:11
1929,E,4,15,510,240,510,240,1,0.0,498.0,2012-03-13 17:37:12
1930,L,2,14,510,240,510,240,2,0.0,498.0,2012-03-13 17:37:14
1931,E,4,18,510,238,511,238,2,0.0,498.0,2012-03-13 17:37:16
1932,E,5,24,510,240,510,240,2,0.0,498.0,2012-03-13 17:37:18
1933,L,1,0,510,239,510,239,1,0.0,498.1,2012-03-13 17:37:19
1934,E,5,28,510,239,510,239,2,0.0,498.0,2012-03-13 17:37:21
1935,E,5,17,510,241,510,241,0,0.0,498.0,2012-03-13 17:37:21
1936,L,3,16,510,242,510,242,2,0.0,498.1,2012-03-13 17:37:23
1937,E,6,1150,239,510,510,239,1,0.0,498.1,2012-03-13 17:37:24
1938,E,5,16,510,240,510,240,1,0.0,498.1,2012-03-13 17:37:25
1939,E,5,38,510,241,510,241,0,0.0,498.1,2012-03-13 17:37:25
1940,E,4,14,510,241,510,241,1,0.0,498.1,2012-03-13 17:37:26
1941,E,4,19,510,239,511,239,3,0.0,498.1,2012-03-13 17:37:29
1942,L,1,0,510,240,510,240,2,0.0,498.1,2012-03-13 17:37:31
1943,E,4,26,510,241,510,241,10,0.0,498.1,2012-03-13 17:37:41
1944,L,3,14,510,242,511,242,1,0.0,498.1,2012-03-13 17:37:42
1945,E,9,52,510,240,511,240,1,0.0,498.1,2012-03-13 17:37:43
1946,E,5,32,510,239,510,239,1,0.0,498.1,2012-03-13 17:37:44
1947,L,3,12,472,241,472,241,7,0.0,498.1,2012-03-13 17:37:51
1948,L,3,12,472,472,472,472,0,0.0,498.1,2012-03-13 17:37:51
1949,C,0,4331979,242,242,242,242,1,0.0,498.1,2012-03-13 17:37:52
1950,L,3,11,472,242,472,242,0,0.0,498.1,2012-03-13 17:37:52
1951,C,0,4348628,241,242,242,241,1,0.0,498.1,2012-03-13 17:37:53
1952,E,4,31,472,240,472,240,4,0.0,498.1,2012-03-13 17:37:57
1953,C,0,4343783,242,242,242,242,0,0.0,498.1,2012-03-13 17:37:57
1954,E,9,76,472,240,472,240,1,0.0,498.1,2012-03-13 17:37:58
1955,C,0,4335163,242,242,242,242,1,0.0,498.1,2012-03-13 17:37:59
1956,E,6,43,472,239,472,239,2,0.0,498.1,2012-03-13 17:38:01
1957,C,0,4351701,242,242,242,242,1,0.0,498.1,2012-03-13 17:38:02
1958,E,4,30,472,242,472,242,3,0.0,498.1,2012-03-13 17:38:05
1959,C,0,4340064,242,242,242,242,0,0.0,498.1,2012-03-13 17:38:05
1960,E,4,63,472,239,472,239,5,0.0,498.1,2012-03-13 17:38:10
1961,C,0,4345016,242,242,242,242,1,0.0,498.1,2012-03-13 17:38:11
1962,E,7,49,472,242,472,242,1,0.0,498.1,2012-03-13 17:38:12
1963,C,0,4350381,242,242,242,242,0,0.0,498.1,2012-03-13 17:38:12
1964,E,4,16,472,243,472,243,2,0.0,498.1,2012-03-13 17:38:14
1965,L,3,9,472,239,472,239,2,0.0,498.1,2012-03-13 17:38:16
1966,C,0,4350158,242,242,242,242,1,0.0,498.1,2012-03-13 17:38:17
1967,E,56,826,306,232,242,232,3,0.0,498.1,2012-03-13 17:38:20
1968,C,0,4203891,242,242,243,242,1,0.0,498.1,2012-03-13 17:38:21
1969,L,2,6,472,242,472,242,2,0.0,498.1,2012-03-13 17:38:23
1970,C,0,4347474,242,242,242,242,0,0.0,498.1,2012-03-13 17:38:23
1971,L,4,1173,242,242,243,242,6,0.0,498.1,2012-03-13 17:38:29
1972,C,0,4347190,242,242,242,242,0,0.0,498.1,2012-03-13 17:38:29
1973,L,2,9,472,239,472,239,6,0.0,498.1,2012-03-13 17:38:35
1974,C,0,4346754,242,242,243,242,0,0.0,498.1,2012-03-13 17:38:35
1975,L,3,13,472,239,472,239,4,0.0,498.1,2012-03-13 17:38:39
1976,C,0,4354677,241,242,243,241,0,0.0,498.1,2012-03-13 17:38:39
1977,E,4,29,472,239,472,239,3,0.0,498.1,2012-03-13 17:38:42
1978,C,0,4351685,242,242,242,242,0,0.0,498.1,2012-03-13 17:38:42
1979,L,1,0,472,239,472,239,1,0.0,498.1,2012-03-13 17:38:43
1980,C,0,4358776,240,242,242,240,0,0.0,498.1,2012-03-13 17:38:43
1981,E,8,60,472,243,472,243,6,0.0,498.1,2012-03-13 17:38:49
1982,C,0,4353148,242,242,242,242,0,0.0,498.1,2012-03-13 17:38:49
1983,L,3,10,472,240,472,240,0,0.0,498.1,2012-03-13 17:38:49
1984,C,0,4362462,240,242,242,240,0,0.0,498.1,2012-03-13 17:38:49
1985,L,3,10,472,241,472,241,3,0.0,498.1,2012-03-13 17:38:52
1986,C,0,4350518,242,242,242,242,0,0.0,498.1,2012-03-13 17:38:52
1987,L,3,11,472,239,472,239,3,0.0,498.2,2012-03-13 17:38:55
1988,E,4,31,472,240,472,240,6,0.0,498.2,2012-03-13 17:39:01
1989,C,0,4359088,242,242,242,242,0,0.0,498.2,2012-03-13 17:39:01
1990,E,4,16,472,243,472,243,11,0.0,498.2,2012-03-13 17:39:12
1991,C,0,4352572,241,242,242,241,0,0.0,498.2,2012-03-13 17:39:12
