Num,t_minutes,h_GPS,h_barometric
248,276.833333333333,1059.6,1054.85499380783
249,277.833333333333,1059.6,1052.94658544766
250,278.833333333333,1059.6,1054.30370446592
251,279.833333333333,1059.5,1052.68699185049
252,281.85,1059.4,1055.16891280003
253,282.85,1059.4,1053.87106649931
254,283.85,1060.4,1055.72033735188
255,284.85,1061,1057.94297349935
256,286.866666666667,1061.1,1056.64512719863
257,287.866666666667,1061.1,1057.0181836526
258,288.866666666667,1060.3,1053.55227229131
259,289.866666666667,1058.5,1054.73631989871
260,291.883333333333,1057.6,1057.88330187024
261,292.883333333333,1057.6,1057.1316278093
262,293.883333333333,1059.3,1057.51038059803
263,294.883333333333,1057.3,1053.9303069157
264,296.9,1057.1,1060.22543252063
265,297.9,1057.4,1059.30043669585
266,298.9,1058.5,1060.2853680953
267,299.9,1060,1058.75460133185
268,301.916666666667,1060.4,1058.75460133185
269,302.916666666667,1060.3,1060.02580153955
270,303.916666666667,1060.2,1057.88928483318
271,304.916666666667,1060.1,1059.30043669585
272,306.933333333333,1060.1,1060.16550986228
273,307.933333333333,1060,1061.09050568706
274,308.933333333333,1060.1,1057.57002002292
275,310.1,1059.9,1057.25081404228
276,311.95,1059.8,1057.51038059803
277,312.95,1059.7,1056.32602419553
278,314.116666666667,1059.6,1056.64512719863
279,315.116666666667,1059.5,1058.43527342232
280,316.966666666667,1059.3,1054.67700212058
281,318.133333333333,1059.2,1054.67700212058
282,319.133333333333,1059,1054.73631989871
283,320.133333333333,1058.9,1054.13065198346
284,322.15,1058.7,1055.4013373034
285,323.15,1058.7,1055.0552359439
286,324.15,1058.6,1052.31338320326
287,325.15,1058.5,1052.14028924779
288,327.166666666667,1056.4,1052.08124190361
289,328.166666666667,1057.3,1053.81183884706
290,329.166666666667,1057.1,1052.34085443313
291,330.166666666667,1057.1,1052.51392494489
292,332.183333333333,1056.2,1054.99587834313
293,333.183333333333,1056.6,1054.24443174838
294,334.183333333333,1058,1054.41746260062
295,335.183333333333,1056.8,1054.73631989871
296,337.2,1054.3,1053.9529262003
297,338.2,1058,1053.75262395481
298,339.2,1060.3,1054.67700212058
299,340.2,1062.7,1058.37554387155
300,342.216666666667,1060.6,1054.04412439016
