Year Flight Event Theta
2013 4 12014 5.565900e-01
2013 4 12016 8.195200e-01
2013 4 12018 6.846300e-01
2013 4 12020 5.903100e-01
2013 4 12022 4.541100e-01
2013 4 12024 2.407700e-01
2013 4 12026 5.163600e-01
2013 4 12028 3.203300e-01
2013 4 12030 2.383600e-01
2013 4 12034 4.002400e-01
2013 4 12036 5.377900e-01
2013 4 12038 4.230300e-01
2013 4 12040 2.611000e-01
2013 4 12044 3.488100e-01
2013 4 12046 4.078600e-01
2013 4 12048 2.532200e-01
2013 4 12050 9.506000e-02
2013 4 12054 1.068500e-01
2013 4 12056 4.376100e-01
2013 4 12058 4.462900e-01
2013 4 12060 3.463300e-01
2013 4 12062 1.907400e-01
2013 4 12064 3.240200e-01
2013 4 12066 6.774800e-01
2013 4 12068 2.876000e-01
2013 4 12070 4.020700e-01
2013 4 12072 6.734300e-01
2013 4 12074 3.910700e-01
2013 4 12078 2.627100e-01
2013 4 12080 6.683000e-01
2013 4 12082 4.668300e-01
2013 4 12084 2.795500e-01
2013 4 12086 2.467500e-01
2013 4 12088 3.094600e-01
2013 4 12090 1.465200e-01
2013 4 12092 1.747500e-01
2013 4 12094 2.849300e-01
2013 4 12096 6.048700e-01
2013 5 12100 8.365200e-01
2013 5 12102 5.995800e-01
2013 5 12106 9.051500e-01
2013 5 12116 1.213100e-01
2013 5 12120 4.509300e-01
2013 5 12126 5.138400e-01
2013 5 12130 7.534100e-01
2013 5 12166 6.228000e-01
2013 5 12172 7.315700e-01
2013 5 12174 4.274100e-01
2013 5 12180 3.342200e-01
2013 5 12198 2.728400e-01
2013 5 12210 5.028100e-01
2013 5 12218 3.208900e-01
2013 5 12244 4.156400e-01
2013 5 12270 2.765800e-01
2013 5 12274 1.227300e-01
2013 5 12278 3.492000e-01
2013 5 12298 2.636000e-01
2013 5 12306 4.719100e-01
2013 5 12360 8.594300e-01
2013 5 12380 4.459700e-01
2013 5 12472 2.963200e-01
2013 5 12498 2.552400e-01
2013 5 12500 2.341000e-01
2013 5 12524 6.776700e-01
2013 5 12538 3.949100e-01
2013 5 12540 5.711900e-01
2013 5 12544 2.553800e-01
2013 5 12594 1.627600e-01
2013 5 12620 6.589300e-01
2013 5 12650 3.156600e-01
2013 5 12652 1.806400e-01
2013 5 12664 6.729000e-01
2013 5 12676 5.141300e-01
2013 5 12678 9.719800e-01
2013 5 12720 6.911000e-02
2013 5 12724 2.647000e-02
2013 5 12740 3.186300e-01
2013 5 12754 6.792800e-01
2013 5 12808 8.633700e-01
2013 5 12818 4.810300e-01
2013 5 12832 7.836000e-01
2013 5 12860 4.966000e-02
2013 5 12862 5.343900e-01
2013 5 12876 4.526400e-01
2013 5 12922 1.403500e-01
2013 5 12986 9.237200e-01
2013 5 13000 7.063900e-01
2013 5 13008 6.824000e-02
2013 5 13092 1.474300e-01
2013 5 13098 3.660200e-01
2013 5 13142 2.301300e-01
2013 5 13190 6.681000e-01
2013 5 13254 7.676000e-01
2013 5 13300 2.419000e-01
2013 5 13332 1.000670e+00
2013 5 13342 9.597000e-01
2013 5 13494 2.140700e-01
2013 5 13678 8.385000e-02
2013 5 13738 8.881000e-01
2013 5 13764 3.544400e-01
2013 5 13930 1.166820e+00
2013 5 13948 2.441200e-01
2013 5 13960 6.468600e-01
2013 5 14078 3.494800e-01
2013 5 14128 6.615300e-01
2013 5 14164 6.013300e-01
2013 5 14170 1.758800e-01
2013 5 14202 6.185100e-01
2013 5 14208 7.059000e-02
2013 5 14230 6.844900e-01
2013 5 14278 3.382300e-01
2013 5 14292 1.363200e-01
2013 5 14394 2.775000e-01
2013 5 14422 5.628300e-01
2013 5 14448 6.441700e-01
2013 5 14450 2.293900e-01
2013 5 14464 6.415400e-01
