EID,UTC,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,H,EAS,SNRatio_s,SNRatio_n,AbsSignal_s,AbsSignal_n,TotalNoise_s,TotalNoise_n,NNear3,Theta,dt2_s,dt2_n,ng_s,ng_n,Crit1,Crit2
10769,2013-03-09  20:42:21,29,1382,238,236,238,236,233,605.0,1.0,24.76004,0.4691329000000001,880.566,261.193,35.564,556.757,34.0,0.6440265000000001,1.3525040000000002,2.0,41.0,9.0,6.736476277416637,52.77830803619798
10771,2013-03-09  20:47:07,13,949,241,240,241,240,286,609.6,1.0,10.01734,1.1969299999999998,540.105,316.698,53.917,264.592,22.0,0.3298672,0.8416254000000001,1.914854,24.0,12.0,4.550371222161308,8.369198460501199
10773,2013-03-09  20:50:54,16,273,470,237,239,237,227,602.3,1.0,22.76952,0.4236397,159.546,11.609000000000002,7.007000000000001,27.403000000000002,7.0,0.4869469,1.224745,2.0,10.0,0.0,10.0,53.74735570472868
10775,2013-03-09  20:51:18,8,7501,238,238,239,238,24,602.3,0.0,1.136053,147.9303,1793.648,3351.36,1578.842,22.655,30.0,0.2199115,2.061553,1.044466,32.0,66.0,0.2456438217090502,0.0076796518367718905
10779,2013-03-09  20:55:27,31,2502,242,240,244,240,239,602.3,1.0,33.49598,0.6963285,1092.036,421.652,32.602,605.536,25.0,0.1570796,0.6831301,1.309307,30.0,7.0,8.214124533944139,48.103703671364094
10781,2013-03-09  21:00:41,15,607,241,238,238,238,314,602.8,1.0,8.822285,1.606085,266.98,179.64700000000002,30.261999999999997,111.854,14.0,0.3769911,1.48324,1.06066,15.0,8.0,1.3408062754510397,5.493038616107113
10783,2013-03-09  21:03:39,7,4158,239,239,239,239,178,602.3,0.0,0.9344582,1000.0,862.1610000000001,1784.793,922.632,0.0,38.0,0.1884956,2.173707,1.1712360000000002,40.0,78.0,0.276317758627932,0.0
10787,2013-03-09  21:07:29,21,725,242,240,242,240,203,605.4,1.0,1000.0,0.391083,503.219,126.917,0.0,324.527,18.0,0.3612832,0.8897565000000001,1.658312,24.0,4.0,11.182690994671011,1000.0
10789,2013-03-09  21:09:08,15,314,470,237,239,237,99,603.0,1.0,17.00796,0.3565009,171.032,35.777,10.056000000000001,100.35600000000001,6.0,0.1884956,0.7071068,1.414214,8.0,1.0,16.000004525483273,47.70803524857606
10791,2013-03-09  21:12:49,23,835,242,238,239,238,221,603.6,1.0,1000.0,0.6827187,313.586,112.553,0.0,164.86,14.0,0.5497787,1.137593,1.870829,17.0,4.0,6.989339113373588,1000.0
