,part,energy,angle,n,Q,Q25,Q50,QR25_130,QR50_130,eta25_130,eta50_130
173,h,10,00-20,39,27985319594.0,1802886000.0,4434710000.0,11045167300.0,8413343300.0,0.16322849179477797,0.5271043676537007
174,h,10,00-20,40,29502114243.0,2563066000.0,5921201000.0,12506535400.0,9148400400.0,0.20493813178668172,0.6472389424494362
175,h,10,00-20,41,26333129424.0,1275770000.0,3295839000.0,9397161000.0,7377092000.0,0.13576121554158752,0.446766693434215
176,h,10,00-20,42,28698618281.0,1747868000.0,4316601000.0,11063049600.0,8494316600.0,0.15799151799879846,0.5081751956361034
177,h,10,00-20,43,25510569363.0,998099000.0,2734205000.0,8788353600.0,7052247600.0,0.11357064649742814,0.3877068921970352
178,h,10,00-20,44,27868119281.0,1843679000.0,4534678000.0,11126898800.0,8435899800.0,0.165695674341893,0.5375452657699894
179,h,10,00-20,45,26474496544.0,1380496000.0,3477165000.0,9634209000.0,7537540000.0,0.14329105793739788,0.4613129747901835
180,h,10,00-20,46,30464743117.0,1822182000.0,4711036000.0,12265757300.0,9376903300.0,0.1485584587590038,0.5024085083611772
181,h,10,00-20,47,25834561829.0,1296690000.0,3281256000.0,9155386400.0,7170820400.0,0.14163137887877675,0.45758446272061143
182,h,10,00-20,48,28775490869.0,2115738000.0,5084346000.0,11815168700.0,8846560700.0,0.17906963952194774,0.5747257236363054
183,h,10,00-20,49,29141698010.0,2402636000.0,5619843000.0,12218311900.0,9001104900.0,0.19664222190955855,0.6243503505886261
184,h,10,00-20,50,29423878976.0,1843805000.0,4689443000.0,11884688500.0,9039050500.0,0.1551412138399757,0.5187981857165197
185,h,10,00-20,51,25407734874.0,1060243000.0,2793471000.0,8487739100.0,6754511100.0,0.12491465483428915,0.4135711613531881
186,h,10,00-20,52,27434325425.0,1241030000.0,3316077000.0,9964441200.0,7889394200.0,0.1245458701688159,0.4203208657009432
187,h,10,00-20,53,28310554412.0,1945605000.0,4730465000.0,11286646300.0,8501786300.0,0.17238114390100095,0.556408363263612
188,h,10,00-20,54,29149917673.0,1938619000.0,4781960000.0,11718435400.0,8875094400.0,0.1654332625326415,0.5388066632846181
189,h,10,00-20,55,28956210023.0,1954828000.0,4834874000.0,11719710200.0,8839664200.0,0.16679832236807357,0.5469522247236496
190,h,10,00-20,56,27979030686.0,1499198000.0,3847483000.0,10485430900.0,8137145900.0,0.14297915024169394,0.4728295457993447
191,h,10,00-20,57,26965126103.0,1124518000.0,3022140000.0,9398701700.0,7501079700.0,0.1196460996309735,0.40289399937984927
192,h,10,00-20,58,28332345061.0,2511003000.0,5694922000.0,11761188600.0,8577269600.0,0.21349908460782613,0.6639551122422455
193,h,10,00-20,59,26310177722.0,1036915000.0,2830497000.0,9030108500.0,7236526500.0,0.11482863135033206,0.391140279801366
194,h,10,00-20,60,28479439301.0,1554126000.0,3941708000.0,10653239600.0,8265657600.0,0.14588294813157118,0.47687772597790645
195,h,10,00-20,61,26873444515.0,1359537000.0,3450164000.0,9674596900.0,7583969900.0,0.14052647506171548,0.45492849332115626
196,h,10,00-20,62,28684102743.0,2063626000.0,4887860000.0,11396829600.0,8572595600.0,0.1810701811317772,0.5701727024193233
197,h,10,00-20,63,29075800762.0,1967585000.0,4890591000.0,11880539000.0,8957533000.0,0.16561411902271436,0.5459752143810132
198,h,10,00-20,64,29014610134.0,2386367000.0,5601323000.0,12141910000.0,8926954000.0,0.19653967127082972,0.6274618419675961
199,h,10,00-20,65,28580837811.0,1766424000.0,4347459000.0,11026366200.0,8445331200.0,0.16020001222161476,0.514776614089451
200,h,10,00-20,66,28010114367.0,1936102000.0,4619133000.0,11045210800.0,8362179800.0,0.1752888229168066,0.5523838413519881
201,h,10,00-20,67,24726508961.0,2722777000.0,5676829000.0,10361254200.0,7407202200.0,0.2627844995830717,0.7663931463893344
202,h,10,00-20,68,27604849468.0,1593755000.0,3974773000.0,10428073700.0,8047055700.0,0.15283311624466175,0.49394128090849426
203,h,10,00-20,69,28019194386.0,1548488000.0,3980902000.0,10764697800.0,8332283800.0,0.14384872002630672,0.4777684120648891
204,h,10,00-20,70,25010382400.0,934698000.0,2525201000.0,8349591600.0,6759088600.0,0.11194535550696874,0.3736008135771441
205,h,10,00-20,71,29099516945.0,1923140000.0,4762783000.0,11792892800.0,8953249800.0,0.16307618771875887,0.5319613666983803
206,h,10,00-20,72,27702472999.0,2445845000.0,5531232000.0,11481718000.0,8396331000.0,0.21302082144849752,0.6587677403380119
207,h,10,00-20,73,26174742241.0,1043589000.0,2858652000.0,9031962300.0,7216899300.0,0.11554399424364294,0.3961052913679979
208,h,10,00-20,74,26251379212.0,1277447000.0,3294009000.0,9469061800.0,7452499800.0,0.13490745197164095,0.4420005485944461
