,part,energy,angle,n,Q35,Q50,Q70,Q,QR35_70,QR70_150,QR50_200
230,n,10,20-40,122,1249054000.0,2106855000.0,3442634500.0,23190671490.0,2026814800.0,5844042700.0,9936322900.0
231,n,10,20-40,123,1675784000.0,2727162000.0,4290112000.0,24638927766.0,2422783000.0,6331541500.0,10778695700.0
232,n,10,20-40,124,639500200.0,1091328400.0,1822785200.0,19277276561.0,1089975200.0,3862361600.0,7207528900.0
233,n,10,20-40,125,2391438000.0,3868197000.0,6010224000.0,27476962784.0,3360968000.0,7446008400.0,12634674300.0
234,n,10,20-40,126,672473300.0,1201326400.0,2085348500.0,20097236628.0,1298888000.0,4670556100.0,8146309800.0
235,n,10,20-40,127,929443000.0,1598983500.0,2666845700.0,21718058594.0,1602510900.0,5078513700.0,8893921100.0
236,n,10,20-40,128,1069616000.0,1776205800.0,2871410700.0,21609703233.0,1664968400.0,5044039600.0,8836479100.0
237,n,10,20-40,129,938408000.0,1613062000.0,2697983800.0,22201567478.0,1621913900.0,5264786300.0,9162358400.0
238,n,10,20-40,130,1653965000.0,2761682000.0,4447538000.0,25289720086.0,2585690000.0,6694259400.0,11304440200.0
239,n,10,20-40,131,1396245000.0,2336530000.0,3790727000.0,24200033250.0,2213286000.0,6220822700.0,10518110300.0
240,n,10,20-40,132,917940600.0,1569552000.0,2605532600.0,21203838196.0,1556871100.0,4936983100.0,8689157800.0
241,n,10,20-40,133,1436870000.0,2385942000.0,3840373000.0,24057879215.0,2223033000.0,6173959100.0,10477358100.0
242,n,10,20-40,134,599508800.0,1053054100.0,1798574900.0,18943717103.0,1103602000.0,3874913800.0,7111323000.0
243,n,10,20-40,135,670583900.0,1195730100.0,2075582400.0,20336205817.0,1291350700.0,4664993600.0,8144535700.0
244,n,10,20-40,136,545710400.0,970824700.0,1683270100.0,18932946047.0,1045458300.0,3969676400.0,7246964100.0
245,n,10,20-40,137,1191330000.0,1953484700.0,3121726900.0,22373299868.0,1784699600.0,5371854800.0,9319352400.0
246,n,10,20-40,138,1968839000.0,3218652000.0,5072606000.0,26020253152.0,2877974000.0,6960708100.0,11780974100.0
247,n,10,20-40,139,546330400.0,960977400.0,1652361100.0,18913300752.0,1016759500.0,3869930300.0,7124369200.0
248,n,10,20-40,140,352901000.0,648199800.0,1160201200.0,16898877206.0,740164000.0,3088653900.0,5944012000.0
249,n,10,20-40,141,1483576000.0,2443561000.0,3896719600.0,23762241785.0,2233890000.0,6049937900.0,10333511200.0
250,n,10,20-40,142,884337600.0,1532435300.0,2585158500.0,22360254551.0,1566746400.0,5222833100.0,9151014700.0
251,n,10,20-40,143,751235200.0,1297780700.0,2180030000.0,20551541278.0,1316686100.0,4444331600.0,8047783800.0
252,n,10,20-40,144,941838000.0,1614720800.0,2692074200.0,21776571191.0,1613910400.0,5183576300.0,9004728000.0
253,n,10,20-40,145,881865100.0,1521412800.0,2554080100.0,21845878755.0,1540982100.0,5062770700.0,8888840500.0
254,n,10,20-40,146,1431578000.0,2404293000.0,3914648000.0,24977728953.0,2294759000.0,6421759200.0,10917018600.0
255,n,10,20-40,147,945869000.0,1594380900.0,2612249700.0,21557954472.0,1538527500.0,4878581100.0,8679754400.0
256,n,10,20-40,148,891318000.0,1525498300.0,2538601300.0,21334621437.0,1519111800.0,4913518000.0,8638853700.0
257,n,10,20-40,149,1998674000.0,3208573000.0,4963905000.0,25687097605.0,2752841000.0,6656327200.0,11337490900.0
258,n,10,20-40,150,751368400.0,1285461300.0,2141581600.0,20224412935.0,1281593200.0,4352067500.0,7889062300.0
259,n,10,20-40,151,835887000.0,1429075500.0,2373097300.0,21031278924.0,1418063900.0,4577999200.0,8282114300.0
260,n,10,20-40,152,1015702000.0,1714455100.0,2808545900.0,21827551806.0,1655601100.0,5111052400.0,8965637300.0
261,n,10,20-40,153,961867000.0,1672798300.0,2830728600.0,22438926617.0,1721301800.0,5577812500.0,9516005600.0
262,n,10,20-40,154,854262100.0,1488880500.0,2519723400.0,21780322546.0,1534199100.0,5106463700.0,8930376700.0
263,n,10,20-40,155,1552777000.0,2514818000.0,3947725900.0,23950343252.0,2218954800.0,5994324500.0,10270843900.0
264,n,10,20-40,156,1732001000.0,2859534000.0,4562195000.0,25269988115.0,2620789000.0,6697439700.0,11308014300.0
265,n,10,20-40,157,2007650000.0,3182651000.0,4862306000.0,24304794715.0,2652854000.0,6228783200.0,10667393100.0
266,n,10,20-40,158,564309200.0,1008211100.0,1753747200.0,19215431010.0,1093066000.0,4066490100.0,7361756100.0
267,n,10,20-40,159,485350300.0,840845800.0,1430316700.0,17751533819.0,868899800.0,3320504100.0,6298498800.0
268,n,10,20-40,160,884515000.0,1549915300.0,2636040400.0,21686090900.0,1613088400.0,5292524700.0,9033119300.0
269,n,10,20-40,161,2094268000.0,3375178000.0,5246755000.0,25852684013.0,2925806000.0,6870573700.0,11648843900.0
270,n,10,20-40,162,710314800.0,1238344200.0,2102436800.0,20213565439.0,1281644300.0,4474874300.0,8010995700.0
271,n,10,20-40,163,341606500.0,616775600.0,1090224100.0,16793807346.0,686619300.0,2897534800.0,5675731600.0
272,n,10,20-40,164,642205900.0,1077863600.0,1767364000.0,18209852139.0,1037890100.0,3590964300.0,6727096700.0
273,n,10,20-40,165,752587300.0,1296955700.0,2180142500.0,20998742403.0,1314888900.0,4547077100.0,8202487500.0
274,n,10,20-40,166,1120298000.0,1920807000.0,3196988100.0,23317241621.0,1915483300.0,5845836800.0,9940316600.0
275,n,10,20-40,167,1826867000.0,2961231000.0,4622637000.0,24295534593.0,2594426000.0,6312595100.0,10745790600.0
276,n,10,20-40,168,653507200.0,1138287600.0,1935696500.0,20068345569.0,1179787900.0,4308310300.0,7795585900.0
277,n,10,20-40,169,1555533000.0,2544215000.0,4013741500.0,23622951336.0,2278560000.0,5950349500.0,10197583300.0
278,n,10,20-40,170,1086710000.0,1881666000.0,3163015500.0,23971259058.0,1913877400.0,6037241900.0,10276217100.0
279,n,10,20-40,171,436513700.0,775227700.0,1348221300.0,17843768173.0,837239200.0,3345624000.0,6365460000.0
280,n,10,20-40,172,1480438000.0,2440676000.0,3900803000.0,23730963776.0,2239849000.0,6059211300.0,10286450900.0
281,n,10,20-40,173,968706000.0,1697904200.0,2891182200.0,23000512660.0,1770247700.0,5761544500.0,9767040100.0
282,n,10,20-40,174,1198119000.0,2045712000.0,3392087100.0,23865420203.0,2024282600.0,6080660800.0,10286318800.0
283,n,10,20-40,175,1902056000.0,3054140000.0,4733175000.0,24890599907.0,2627680000.0,6426130500.0,10967255200.0
284,n,10,20-40,176,1262016000.0,2089304000.0,3357900500.0,22621692604.0,1938390600.0,5529271300.0,9573535300.0
285,n,10,20-40,177,1709239000.0,2782317000.0,4380324000.0,24745238767.0,2475476000.0,6355129400.0,10826747700.0
286,n,10,20-40,178,1363518000.0,2266858000.0,3653808500.0,24030097234.0,2117940500.0,6008529900.0,10279468300.0
287,n,10,20-40,179,1250968000.0,2115982000.0,3483119600.0,23875903056.0,2060097000.0,6133333600.0,10357398500.0
288,n,10,20-40,180,590456200.0,1050870100.0,1824407100.0,20327492297.0,1133868800.0,4272130500.0,7807697300.0
289,n,10,20-40,181,691452700.0,1183603300.0,1968936900.0,18541107982.0,1178169300.0,3881083300.0,7091503600.0
